subject_label_original	subject_label	subject_type	subject_final_label	subject_final_curie	subject_missing_final	predicate_raw	biolink_predicate	association_category	object_label_original	object_label	object_type	object_final_label	object_final_curie	object_missing_final	report_id	pmid	link	outcome
NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Developmental delays (gross motor, fine motor, speech)	Developmental delays (gross motor, fine motor, speech)	PhenotypicFeature	Global developmental delay	HP:0001263	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Anemic	Anemic	PhenotypicFeature	Anaemic	UMLS:C0857322	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Myringotomy	Myringotomy	PhenotypicFeature	Tympanotomy	SNOMED:397760009	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Strabismus	Strabismus	PhenotypicFeature	strabismus	MONDO:0003432	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
PTPN11	PTPN11	Gene	PTPN11	NCBIGene:100170851	N	gene_associated_with_condition	biolink:gene_associated_with_condition	biolink:GeneToDiseaseAssociation	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
Dupilumab	Dupilumab	Drug	Dupilumab	UNII:420K487FSG	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
Dupilumab	Dupilumab	Drug	Dupilumab	UNII:420K487FSG	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Inflammatory dermatitis	Inflammatory dermatitis	PhenotypicFeature	Inflammatory dermatitis	UMLS:C5936582	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	Patient improved
Dupilumab	Dupilumab	Drug	Dupilumab	UNII:420K487FSG	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Yellowish palmoplantar keratoderma	Yellowish palmoplantar keratoderma	PhenotypicFeature	Palmoplantar keratoderma	HP:0000982	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	Patient’s condition was unchanged
Dupilumab	Dupilumab	Drug	Dupilumab	UNII:420K487FSG	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Diffuse erythematous lesions covered by thick scales	Diffuse erythematous lesions covered by thick scales	PhenotypicFeature	Psoriasis	HP:0003765	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	Patient fully recovered
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Hypertrophic cardiomyopathy (with symptoms)	Hypertrophic cardiomyopathy (with symptoms)	PhenotypicFeature	hypertrophic cardiomyopathy	MONDO:0005045	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Failure to thrive	Failure to thrive	PhenotypicFeature	Failure to Thrive	NCIT:C107587	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Developmental delays (gross motor, fine motor, speech)	Developmental delays (gross motor, fine motor, speech)	PhenotypicFeature	Global developmental delay	HP:0001263	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Delayed psychomotor development	Delayed psychomotor development	PhenotypicFeature	Global developmental delay	HP:0001263	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Other neurological anomalies	Other neurological anomalies	PhenotypicFeature	Abnormality of the nervous system	HP:0000707	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Inflammatory dermatitis	Inflammatory dermatitis	PhenotypicFeature	Inflammatory dermatitis	UMLS:C5936582	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Diffuse erythematous lesions covered by thick scales	Diffuse erythematous lesions covered by thick scales	PhenotypicFeature	Psoriasis	HP:0003765	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Yellowish palmoplantar keratoderma	Yellowish palmoplantar keratoderma	PhenotypicFeature	Palmoplantar keratoderma	HP:0000982	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Coarse and unruly hair	Coarse and unruly hair	PhenotypicFeature	Coarse hair	HP:0002208	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Thick hyperkeratotic scalp plaques	Thick hyperkeratotic scalp plaques	PhenotypicFeature	Scalp hyperkeratosis	HP:0005240	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Severe Itching	Severe Itching	PhenotypicFeature	Pruritus	HP:0000989	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Skin Pustules/blisters	Skin Pustules/blisters	PhenotypicFeature	Pustule	HP:0200039	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Skin Pustules/blisters	Skin Pustules/blisters	PhenotypicFeature	Blister	HP:0001030	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Staphylococcus superinfections	Staphylococcus superinfections	PhenotypicFeature	staphylococcus aureus infection	MONDO:0005545	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Sleep disturbance	Sleep disturbance	PhenotypicFeature	Sleep disturbance	HP:0002360	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Dysmorphic facies	Dysmorphic facies	PhenotypicFeature	Abnormal facial shape	HP:0001999	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Macroglossia	Macroglossia	PhenotypicFeature	macroglossia	MONDO:0015496	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Very thin eyebrows and scarce hair	Very thin eyebrows and scarce hair	PhenotypicFeature	Sparse eyebrow	HP:0000587	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Very thin eyebrows and scarce hair	Very thin eyebrows and scarce hair	PhenotypicFeature	Sparse hair	HP:0002298	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
BRAF	BRAF	Gene	BRAF	NCBIGene:673	N	gene_associated_with_condition	biolink:gene_associated_with_condition	biolink:GeneToDiseaseAssociation	CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	eea4b243-b0b6-4c80-86ab-87251498a107	39235050	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/eea4b243-b0b6-4c80-86ab-87251498a107	
Rosuvastatin	Rosuvastatin	Drug	Rosuvastatin	CHEBI:38545	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	SYNGAP1-Related Developmental and Epileptic Encephalopathy	SYNGAP1-Related Developmental and Epileptic Encephalopathy	Disease	SYNGAP1-related developmental and epileptic encephalopathy	ORPHA:544254	N	86a9442a-f603-47b4-9c7b-ce4ba7140301		https://cure.ncats.io/explore/syngap1-dee/case-reports/case-details/86a9442a-f603-47b4-9c7b-ce4ba7140301	
Rosuvastatin	Rosuvastatin	Drug	Rosuvastatin	CHEBI:38545	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Seizures	Seizures	PhenotypicFeature	Seizures	HP:0001250	N	86a9442a-f603-47b4-9c7b-ce4ba7140301		https://cure.ncats.io/explore/syngap1-dee/case-reports/case-details/86a9442a-f603-47b4-9c7b-ce4ba7140301	Patient improved
SYNGAP1-Related Developmental and Epileptic Encephalopathy	SYNGAP1-Related Developmental and Epileptic Encephalopathy	Disease	SYNGAP1-related developmental and epileptic encephalopathy	ORPHA:544254	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Intellectual or learning differences	Intellectual or learning differences	PhenotypicFeature	Intellectual disability	HP:0001249	N	86a9442a-f603-47b4-9c7b-ce4ba7140301		https://cure.ncats.io/explore/syngap1-dee/case-reports/case-details/86a9442a-f603-47b4-9c7b-ce4ba7140301	
SYNGAP1-Related Developmental and Epileptic Encephalopathy	SYNGAP1-Related Developmental and Epileptic Encephalopathy	Disease	SYNGAP1-related developmental and epileptic encephalopathy	ORPHA:544254	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Intellectual or learning differences	Intellectual or learning differences	PhenotypicFeature	Specific learning disability	HP:0001328	N	86a9442a-f603-47b4-9c7b-ce4ba7140301		https://cure.ncats.io/explore/syngap1-dee/case-reports/case-details/86a9442a-f603-47b4-9c7b-ce4ba7140301	
SYNGAP1-Related Developmental and Epileptic Encephalopathy	SYNGAP1-Related Developmental and Epileptic Encephalopathy	Disease	SYNGAP1-related developmental and epileptic encephalopathy	ORPHA:544254	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Seizures	Seizures	PhenotypicFeature	Seizures	HP:0001250	N	86a9442a-f603-47b4-9c7b-ce4ba7140301		https://cure.ncats.io/explore/syngap1-dee/case-reports/case-details/86a9442a-f603-47b4-9c7b-ce4ba7140301	
Pimecrolimus	Pimecrolimus	Drug	Pimecrolimus	CHEBI:135888	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
Pimecrolimus	Pimecrolimus	Drug	Pimecrolimus	CHEBI:135888	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Keratosis pillaris	Keratosis pillaris	PhenotypicFeature	Keratosis pillaris	HP:0032152	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	Patient’s condition was unchanged
Pimecrolimus	Pimecrolimus	Drug	Pimecrolimus	CHEBI:135888	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Hyperkeratosis	Hyperkeratosis	PhenotypicFeature	Hyperkeratosis	HP:0000962	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	Patient’s condition was unchanged
Hydrocortisone	Hydrocortisone	Drug	Hydrocortisone	CHEBI:17650	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	CFC: Cardiofaciocutaneous Syndrome	CFC: Cardiofaciocutaneous Syndrome	Disease	cardiofaciocutaneous syndrome	MONDO:0015280	N	c93e5a54-6cb1-434d-a287-f863e6ad8c48	19804494	https://cure.ncats.io/explore/cfc-syndrome/case-reports/case-details/c93e5a54-6cb1-434d-a287-f863e6ad8c48	
